,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,0,5.1,3.5,1.4,0.2,Iris-setosa
1,1,4.7,3.2,1.6,0.2,Iris-setosa
2,2,4.9,3.1,1.5,0.1,Iris-setosa
3,3,4.4,2.9,1.4,0.2,Iris-setosa
4,4,5.0,3.4,1.5,0.2,Iris-setosa
5,5,4.6,3.4,1.4,0.3,Iris-setosa
6,6,5.4,3.9,1.7,0.4,Iris-setosa
7,7,5.0,3.6,1.4,0.2,Iris-setosa
8,8,4.6,3.1,1.5,0.2,Iris-setosa
9,9,4.7,3.2,1.3,0.2,Iris-setosa
10,10,4.9,3.0,1.4,0.2,Iris-setosa
11,11,4.8,3.4,1.6,0.2,Iris-setosa
12,12,4.3,3.0,1.1,0.1,Iris-setosa
13,13,5.4,3.7,1.5,0.2,Iris-setosa
15,15,5.2,3.5,1.5,0.2,Iris-setosa
16,16,5.0,3.4,1.6,0.4,Iris-setosa
17,17,5.0,3.0,1.6,0.2,Iris-setosa
18,18,4.8,3.4,1.9,0.2,Iris-setosa
20,20,5.8,4.0,1.2,0.2,Iris-setosa
21,21,5.1,3.7,1.5,0.4,Iris-setosa
23,23,5.1,3.8,1.5,0.3,Iris-setosa
24,24,5.7,3.8,1.7,0.3,Iris-setosa
25,25,5.1,3.5,1.4,0.3,Iris-setosa
26,26,5.4,3.4,1.7,0.2,Iris-setosa
28,28,5.2,3.4,1.4,0.2,Iris-setosa
29,29,5.2,3.4,1.4,0.2,Iris-setosa
30,30,4.8,3.0,1.4,0.1,Iris-setosa
31,31,5.4,3.4,1.5,0.4,Iris-setosa
32,32,5.2,4.1,1.5,0.1,Iris-setosa
33,33,5.5,4.2,1.4,0.2,Iris-setosa
34,34,4.8,3.1,1.6,0.2,Iris-setosa
35,35,4.9,3.1,1.5,0.1,Iris-setosa
36,36,5.0,3.2,1.2,0.2,Iris-setosa
37,37,5.5,3.5,1.3,0.2,Iris-setosa
38,38,4.9,3.1,1.5,0.1,Iris-setosa
39,39,4.4,3.0,1.3,0.2,Iris-setosa
40,40,5.1,3.4,1.5,0.2,Iris-setosa
42,42,4.4,3.2,1.3,0.2,Iris-setosa
44,44,5.1,3.8,1.9,0.4,Iris-setosa
45,45,4.8,3.0,1.4,0.3,Iris-setosa
46,46,5.0,3.5,1.3,0.3,Iris-setosa
47,47,4.6,3.2,1.4,0.2,Iris-setosa
48,48,5.0,3.5,1.3,0.3,Iris-setosa
49,49,5.1,3.8,1.6,0.2,Iris-setosa
53,53,4.6,3.072781065088757,1.4,0.3,Iris-setosa
57,57,5.0,3.3,1.4,0.2,Iris-setosa
58,58,5.3,3.7,1.5,0.2,Iris-setosa
60,60,5.7,2.8,4.5,1.3,Iris-versicolor
61,61,6.7,3.1,4.4,1.4,Iris-versicolor
62,62,5.6,2.9,3.6,1.3,Iris-versicolor
63,63,6.1,2.9,4.7,1.4,Iris-versicolor
64,64,6.4,3.2,4.5,1.5,Iris-versicolor
65,65,4.9,2.4,3.3,1.0,Iris-versicolor
66,66,5.5,2.3,4.0,1.3,Iris-versicolor
67,67,6.5,2.8,4.6,1.5,Iris-versicolor
68,68,6.3,3.3,4.7,1.6,Iris-versicolor
69,69,5.8,2.7,4.1,1.0,Iris-versicolor
70,70,6.9,3.1,4.9,1.5,Iris-versicolor
71,71,5.7,2.6,3.5,1.0,Iris-versicolor
72,72,6.2,2.2,4.5,1.5,Iris-versicolor
73,73,5.6,3.0,4.5,1.5,Iris-versicolor
74,74,6.7,3.0,5.0,1.7,Iris-versicolor
